# Datum, Zeit, Kommentar
22.01.2023, 1h, Recherche VS Code Extension
22.01.2023, 4h, Recherche Diff-Algorithm
27.01.2023, 3.5h, Recherche Parallele Graphenalgs
28.01.2023, 4h, Recherche Diff-Alg & Parrallele Graphenalgs
28.01.2023, 2.5h, Coding: Basic Diff Alg
29.01.2023, 2h, Coding: Basic Diff Alg
30.01.2023, 3h, Coding: Basic Diff Alg
31.01.2023, 3h, Coding: Cleanup and prepare basic infrastructure
01.02.2023, 2h, Coding: Cleanup, prep basic infrastructure
02.02.2023, 1h, Coding: recherche worker thread
05.02.2023, 2h, Meeting & Preparation,
06.02.2023, 1.5h, Coding: parallelization
07.02.2023, 3h, Coding: parallelization